"Link","Abstract"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185201709&doi=10.1109%2fICCA59364.2023.10401714&partnerID=40&md5=9d8528a72e38456a0ed110c52f85d9c6","Instagram has transformed over the years from a simple platform for friends to share stories to a platform for advertising and shopping. The platform now provides personalized user recommendations and direct marketing due to AI and big data developments. As a result, it's essential to understand the primary issues people have while using Instagram for shopping. 128 Instashoppers were surveyed in order to gain further insight into these concerns. The results showed that users' top concerns are the security of their personal and financial information and the presence of fake sellers. Yet the study also discovered that some elements, including a legitimate UAE trade license, positive word-of-mouth recommendations, and a well-designed page layout, can make buyers feel more comfortable when shopping with Instagram sellers. This study points out the significance of additional research on consumer behaviour and the role of social media platforms in the marketplace. Moreover, the study discusses important research implications and limitations.  © 2023 IEEE."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169574811&doi=10.1080%2f0965254X.2023.2253815&partnerID=40&md5=0b5e4ccd732f511beed6a5722ac24736","False news has the ability to cause financial harm to organizations by having a negative impact on the consumer purchasing decisions. This paper explores useful organizational and regulatory strategies in response to false news circulated through social media based on five-stage framework for scoping reviews. The purpose of this paper is to advance current knowledge of false news circulation through social media in three distinct ways. It highlights 1) a wide variety of areas in which false news has been examined, emphasising the rising popularity of the topic, 2) the distinct attributes or characteristics that characterise false news and can be utilised to aid consumer detection, 3) a collection of themes that summarise the organisational-level and regulatory-level strategies in responding to false news circulation through social media. This study helps government agencies, marketing agencies, and senior management to explore organizational-level and regulatory-level solutions for responding to social media-based fake news circulation. © 2023 Informa UK Limited, trading as Taylor & Francis Group."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164933778&doi=10.1007%2f978-3-031-36805-9_30&partnerID=40&md5=353a10137b633aae4a5350d28a04db9b","Social networks reflect the relationships and interactions between individuals and have played a significant role in the spread of information, in which the communication of ideas and sharing of opinions happen all the time. There are various examples of how social networks can affect the behavior of individuals, like viral marketing, the spread of memes, and the propagation of fake news. This dynamic of information diffusion has motivated the research of several approaches to identify the prominent influencers in a network. The Influence Maximization Problem consists of identifying a subset S, called a seed set, of at most k elements to achieve the maximum (expected) propagation through a diffusion model, with S as the initial influencers on a network. It demonstrated that the influence maximization problem is an NP-hard optimization problem. Therefore, it is unfeasible to identify the subset S that ensures the most extensive diffusion due to its complexity. The most typical approach to this problem is using approximate algorithms, highlighting the Cost-Effective Lazy Forward (CELF), about 700 times faster than the greedy strategy proposed by Kemp et al., and CELF++, which presents a runtime gain of between 35 to 55% over CELF. This work modifies the two above-mentioned state-of-the-art algorithms, CELF and CELF++, replacing Monte Carlo simulations with functions to calculate the diffusion estimations (metamodels) for selecting a set of seeds. The adoption of well-known methods in the literature with metamodels can identify orders of magnitude faster, more influential individuals and, in some cases, even outperform the results of these methods in terms of propagation. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193756690&doi=10.1177%2f21582440241252213&partnerID=40&md5=424a37c25b1f24f0bf033d131619a7d6","This paper explores Facebook’s role in shaping the political perception of youth during the 2018 general elections in Pakistan. It also gauges the ideological standpoint of youth in Pakistan that influences their voting decisions. An online campaign has become an indispensable source for politicians to influence the masses without the constraints of distance and time. It is a quantitative study based on a questionnaire survey of young Pakistani voters. Findings show that Facebook has presumed the role of an instigator in shaping the voting behavior of educated youth. Respondents perceived Facebook as biased while expressing views and assisted political entities in manipulating the data to increase their vote bank. Though the majority of them haven’t experienced fake news so either they are not conscious or they trust blindly the information. Furthermore, respondents’ cognitive abilities are not obstructed by politicians using Facebook, instead, friends and family network seems more persuasive in determining voters’ choice. Results manifest that ideological standpoint impacts voters’ decisions substantially. There is no statistical difference in the voting behavior of respondents based on gender and/or age. The individuality of this study is that it focuses on the medium of communication between politicians and youth instead of emphasizing the social cleavages and their impact on voters’ decisions, which Pakistani scholars largely study. This study will prompt the field of psephology in Pakistan, which is largely ignored, and help scholars to move out of the domain of identity politics. © The Author(s) 2024."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187128523&doi=10.37074%2fjalt.2024.7.1.11&partnerID=40&md5=945809fb421a1bbc85a374114b9bc102","One of the many visions of the National Education Policy 2020 (NEP, 2020), is to make efforts to internationalize the higher education system of the country. The purpose of internationalization is to make sure that like the universities from Europe, the US, Australia and other white-centric geopolitical locations of the world, the universities in India can attain global distinctions in terms of rankings, publications, curriculums and pedagogies. However, the execution process is plagued with flawed, superficial and grossly researched policies. To explain further, the initiatives for internationalizing the higher education systems are being undertaken at a rapid pace and in uncritical ways. For example, the focus of internationalization is centered on private universities, with not much focus on government-run institutions. In the name of student and faculty exchange programs, the universities in India are being flooded with white academicians whose physical visibility matters more than scholarliness. Their visibility on the university campuses is regarded as a potential marketing tool to initiate various forms of degree programs and motivate students to pay enormous amounts of registration fees. This opinion piece discusses how the project of internationalization of universities in India is engulfed with the phenomena of cargo cultism and whiteness syndrome. The arguments have been supported with personal conversations with two research participants from two private universities that are based in Noida and Hyderabad. Besides personal conversations, the arguments have also been supported by informal conversations with friends and colleagues and by analyzing photos, videos, and writings that are posted on social media by the university as markers of appreciation and success. © 2024. Sayan Dey and Aritra Chakraborty."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168681889&doi=10.1145%2f3539618.3591747&partnerID=40&md5=76118e8961952eb78aa4c604d3b92483","The delayed feedback is becoming one of the main obstacles in online advertising due to the pervasive deployment of the cost-per-conversion display strategy requesting a real-time conversion rate (CVR) prediction. It makes the observed data contain a large number of fake negatives that temporarily have no feedback but will convert later. Training on such biased data distribution would severely harm the performance of models. Prevailing approaches wait for a set period of time to see if samples convert before training on them, but solutions to guaranteeing data freshness remain under-explored by current research. In this work, we propose Delayed Feedback modeling via neural Satellite Networks (DFSN for short) for online CVR prediction. It tackles the issue of data freshness to permit adaptive waiting windows. We first assign a long waiting window for our main model to cover most of conversions and greatly reduce fake negatives. Meanwhile, two kinds of satellite models are devised to learn from the latest data, and online transfer learning techniques are utilized to sufficiently exploit their knowledge. With information from satellites, our main model can deal with the issue of data freshness, achieving better performance than previous methods. Extensive experiments on two real-world advertising datasets demonstrate the superiority of our model. © 2023 Copyright held by the owner/author(s)."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145060928&doi=10.1108%2fIJPDLM-03-2022-0094&partnerID=40&md5=abc9927a7e8add322a53c2ca0e696449","Purpose: Fake news on social media about COVID-19 pandemic and its associated issues (e.g. lockdown) caused public panic that lead to supply chain (SC) disruptions, which eventually affect firm performance. The purpose of this study is to understand how social media fake news effects firm performance, and how to mitigate such effects. Design/methodology/approach: Grounded on dynamic capability view (DCV), this study suggests that social media fake news effects firm performance via SC disruption (SCD) and SC resilience (SCR). Moreover, the relation between SCD and SCR is contingent upon SC learning (SCL) – a moderated mediation effect. To validate this complex model, the authors suggest effectiveness of using partial least squares structural equation modeling (PLS-SEM). Using an online survey, the results support the authors’ hypotheses. Findings: The results suggest that social media fake news does not affect firm performance directly. However, the authors’ serial mediation test confirms that SCD and SCR sequentially mediate the relationship between social media fake news and firm performance. In addition, a moderated serial mediation test confirms that a higher level of SCL strengthens the SCD–SCR relationship. Research limitations/implications: This work offers a new theoretical and managerial perspective to understand the effect of fake news on firm performance, in the context of crises, e.g. COVID-19. In addition, this study offers the advancement of PLS as more robust for real-world applications and more advantageous when models are complex. Originality/value: Prior studies in the SC and marketing domain suggest different effects of social media fake news on consumer behavior (e.g. panic buying) and SCD, respectively. This current study is a unique effort that investigates the ultimate effect of fake news on firm performance with complex causal relationships via SCD, SCR and SCL. © 2022, Emerald Publishing Limited."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163626876&doi=10.3390%2fjtaer18020054&partnerID=40&md5=54ef68761a52352a4f741d7e0a60db10","Digital networks and E-commerce platforms have had a profound effect on people’s personal, educational, and professional life all around the world. They offer space for advertising, sales, and disseminating news and information, even if they are frequently used for social marketing, interacting, and sharing thoughts among people. Currently, most E-commerce platforms utilize digital network space for advertisement and an increasing trend of social commerce is visible in all parts of the world. During the Post-COVID-19 pandemic, a rapid increase in digital media and E-commerce usage was observed in all parts of the world for personal and professional aspects. The increase in misinformation through these platforms is a major challenge that the current governments face today as rumors and fake news creates severe detrimental implications in society. In this work, we consider fake reviews and misinformation in online digital networks as a single disease, and thereby, by considering the recent trends in online social media marketing, we formulate a pandemic model for digital networks with a psychological state of human choice. The positivity and stability of the model are mathematically tested and validated. Our analysis and simulation prove that the system is stable and justifiable in the real-world digital environment. The generated pandemic model can be applied to assess the social and emotional intelligence of communities and consumers who are frequently exposed to misinformation and share fake news. © 2023 by the authors."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161246666&doi=10.1007%2f978-981-19-9099-1_32&partnerID=40&md5=c960626df8ef72d10a4e8a927e4807be","Bullying and cyberbullying are widely recognized as complex problems that have serious negative repercussions for the health and society of children and adolescents. Bullying can take place in-person at school, home or work, irrespective of age, gender, or role. Cyberbullying can take place on messaging platforms, social media platforms, gaming platforms, or marketing platforms. For example, posting embarrassing photos or videos of someone on social media sending hurtful or spreading lies, as well as abusive or threatening messages, images, or videos through messaging platforms. Offenders impersonate someone and send malicious messages to others in their name or through fake accounts. In this sense, the use of short videos based on the principles of microlearning is scented as a proposal to understand and prevent bullying and cyberbullying. The objective of this article is to analyze how video clips are used on social platforms to raise awareness of bullying and cyberbullying and to propose the creation of new video clips as resources for an awareness-raising MOOC. The methodology followed a phase of analysis of videos on the TikTok and YouTube networks, in order to have a baseline prior to the creation of new video clips by twelve students of the Digital Design and Multimedia career. The content of the videos was evaluated by a psychologist to finally select the appropriate ones for a marketing campaign of an awareness MOOC. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124185745&doi=10.1080%2f01639625.2021.2011479&partnerID=40&md5=cf840da597d641f6a870205da736e2ca","Despite their growing popularity, cryptomarkets generate risks for participants. This has promoted the reemergence of a more personal transaction model on the dark web: single vendor shops. To date, little is known about how single vendors display trust to attract potential customers without relying on the structural trust provided by cryptomarkets’ review and escrow systems. A total of 108 single vendor shops were identified. A coding grid was used to determine whether vendors displayed any of the four categories of trust signals typically found on cryptomarkets (i.e., signals related to identity, marketing, security, and signals that directly express trust). While the majority of single vendor shops were involved in illicit drug dealing, other products such as electronics, weapons, and fake documents were also offered. On average, shops displayed few trust signals. However, variations between different kinds of vendors were found: while vendors involved in illicit drug dealing displayed more identity- and marketing-related trust signals, vendors involved in fraud displayed more security-related signals and signals that directly expressed trust. Differences between vendors might be due to the nature of the products they offer and to the level of competition in their respective markets. © 2022 Taylor & Francis Group, LLC."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184193407&partnerID=40&md5=87039bec1e5826aaa731e544ac2d99f3","This paper aims to incorporate dark branding into the dark marketing spectrum. The study's research question is: How do fake reviews in news media and the recency of non-existent hospitality establishment reviews influence the behavioural intentions of the viewer? The findings of a qualitative study on the place of interest, namely, a (non-existent) restaurant with fake reviews in news stories, were used as a background analysis. A purposive sampling technique and thematic analysis approach were adopted. Dark branding is conceptualised as a form of branding involving questionable ethical practices such as fake online reviews and forms a basis for consumer activism within the dark marketing spectrum. The approach of using emotional marketing, for example, selling mood/comfort instead of tangible products such as food, the novelty of service delivery, servicescape, and signature storytelling, are attributes of dark branding. Adopting an exploratory research method, this study is a first step towards defining the problem statement as a deceptive technique in information technology used by content creators to promote brands, and it is suggested that dark branding in tourism is a dimension of dark marketing. © (2023), (Texas A and M University). All Rights Reserved."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176420567&doi=10.32604%2fcmc.2023.036894&partnerID=40&md5=fe5ffa90b7e7f8ec2ac3abe742955c1c","Emailing is among the cheapest and most easily accessible platforms, and covers every idea of the present century like banking, personal login database, academic information, invitation, marketing, advertisement, social engineering, model creation on cyber-based technologies, etc. The uncontrolled development and easy access to the internet are the reasons for the increased insecurity in email communication. Therefore, this review paper aims to investigate deep learning approaches for detecting the threats associated with e-mail security. This study compiles the literature related to the deep learning methodologies, which are applicable for providing safety in the field of cyber security of email in different organizations. Relevant data were extracted from different research depositories. The paper discusses various solutions for handling these threats. Different challenges and issues are also investigated for e-mail security threats including social engineering, malware, spam, and phishing in the existing solutions to identify the core current problem and set the road for future studies. The review analysis showed that communication media is the common platform for attackers to conduct fraudulent activities via spoofed e-mails and fake websites and this research has combined the merit and demerits of the deep learning approaches adaption in email security threat by the usage of models and technologies. The study highlighted the contrasts of deep learning approaches in detecting email security threats. This review study has set criteria to include studies that deal with at least one of the six machine models in cyber security. © 2023 Tech Science Press. All rights reserved."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186469030&partnerID=40&md5=fc34da7ff88921a79f03688debe42559","The Office of Communications and Marketing oversees various social media platforms, including ""Facebook, Twitter, Instagram, LinkedIn, and YouTube."" Safeguarding online presence is paramount for any business, emphasizing the crucial role of social media security. Protection measures encompass thwarting targeted phishing attacks, fortifying corporate accounts against hacking, and preventing social engineering scams. Social media platforms like Facebook and Twitter offer opportunities for fraudsters to exploit, employing legitimate but fake accounts to gain trust and extract sensitive information. Scammers adeptly craft fraudulent accounts, mimicking individuals or companies, spreading malware, online attacks, and misinformation to deceive followers and company employees into revealing private data or corporate secrets. To enhance security, an envisioned end-to-end app proposes registering mobile numbers with a password consisting of zigzag images or by sliding computer-generated images to create a unique pattern. This complements the existing module facilitating easier SIM card identification. Decentralized blockchain formed by users in communication, as opposed to a private blockchain with a central authority, is proposed. Our social media platform prioritizes two-factor authentication, requiring users to log in with their email and password, and then verifying the login request with a unique one-time password sent to their phone number during the initiation of the login request. © 2024, Ismail Saritas. All rights reserved."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182736361&doi=10.1088%2f1367-2630%2fad1b29&partnerID=40&md5=915476188c8c0ca513a33d30b889d79c","Cascade prediction aims to estimate the popularity of information diffusion in complex networks, which is beneficial to many applications from identifying viral marketing to fake news propagation in social media, estimating the scientific impact (citations) of a new publication, and so on. How to effectively predict cascade growth size has become a significant problem. Most previous methods based on deep learning have achieved remarkable results, while concentrating on mining structural and temporal features from diffusion networks and propagation paths. Whereas, the ignorance of spread dynamic information restricts the improvement of prediction performance. In this paper, we propose a novel framework called Physics-informed graph convolutional network (PiGCN) for cascade prediction, which combines explicit features (structural and temporal features) and propagation dynamic status in learning diffusion ability of cascades. Specifically, PiGCN is an end-to-end predictor, firstly splitting a given cascade into sub-cascade graph sequence and learning local structures of each sub-cascade via graph convolutional network , then adopting multi-layer perceptron to predict the cascade growth size. Moreover, our dynamic neural network, combining PDE-like equations and a deep learning method, is designed to extract potential dynamics of cascade diffusion, which captures dynamic evolution rate both on structural and temporal changes. To evaluate the performance of our proposed PiGCN model, we have conducted extensive experiment on two well-known large-scale datasets from Sina Weibo and ArXIv subject listing HEP-PH to verify the effectiveness of our model. The results of our proposed model outperform the mainstream model, and show that dynamic features have great significance for cascade size prediction. © 2024 The Author(s). Published by IOP Publishing Ltd on behalf of the Institute of Physics and Deutsche Physikalische Gesellschaft."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174165504&doi=10.1016%2fj.chbr.2023.100341&partnerID=40&md5=3eb88f94f18dbff89e81a4ace1cc0a80","Considering the increasing role of social networks in daily life and their role in developing businesses, paying close attention to each of them and their different dimensions is particularly important. As one of the social networks, Instagram has a global scope and an essential role in the field of interpersonal communication in various personal and professional dimensions. One of the significant problems in this platform is the existence of fake accounts with incorrect statistics. In this research, by analyzing the pages of Instagram users, the association between the metrics used to measure the performance of these pages has been investigated. For this purpose, the data of 1860 public pages on Instagram were collected as metrics of the number of followers, comments, likes, posts, followers, and the post's topic. The hypotheses test results show a statistically significant correlation between the number of posts and likes. However, there is no statistically significant association between the number of likes and comments, the number of followers and comments, and the number of followers and likes. The analysis of 100 verified Instagram pages shows that the proposed method can distinguish real from fake pages with 94% accuracy and should be considered in business marketing ads on Instagram. The comparison of results with other classification methods revealed the efficiency of the proposed method. © 2023 The Authors"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152797313&doi=10.3837%2ftiis.2023.03.018&partnerID=40&md5=e774bdd49bc0c40455a9f02ed882b992","Various aspects of artificial intelligence (AI) have become of significant interest to academia and industry in recent times. To satisfy these academic and industrial interests, it is necessary to comprehensively investigate trends in AI-related changes of diverse areas. In this study, we identified and predicted emerging convergences with the help of AI-Associated research abstracts collected from the SCOPUS database. The bidirectional encoder representations obtained via the transformers-based topic discovery technique were subsequently deployed to identify emerging topics related to AI. The topics discovered concern edge computing, biomedical algorithms, predictive defect maintenance, medical applications, fake news detection with block chain, explainable AI and COVID-19 applications. Their convergences were further analyzed based on the shortest path between topics to predict emerging convergences. Our findings indicated emerging AI convergences towards healthcare, manufacturing, legal applications, and marketing. These findings are expected to have policy implications for facilitating the convergences in diverse industries. Potentially, this study could contribute to the exploitation and adoption of AI-enabled convergences from a practical perspective. © 2023 Korean Society for Internet Information. All rights reserved."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190352517&doi=10.1108%2f978-1-83753-686-320241003&partnerID=40&md5=8525288e3514bded26a62ba612d7e2a1","Today's marketing is dominated by decision-making based on artificial intelligence and machine learning. This study focuses on one semi-and unsupervised machine learning technique, generative adversarial networks (GANs). GANs are a type of deep learning architecture capable of generating new data similar to the training data that were used to train it, and thus, it is designed to learn a generative model that can produce new samples. GANs have been used in multiple marketing areas, especially in creating images and video and providing customized consumer contents. Through providing a holistic picture of GANs, including its advantage, disadvantage, ethical considerations, and its current application, the study attempts to provide business some strategical orientations, including formulating strong marketing positioning, creating consumer lifetime values, and delivering desired marketing tactics in product, promotion, pricing, and distribution channel. Through using GANs, marketers will create unique experiences for consumers, build strategic focus, and gain competitive advantages. This study is an original endeavor in discussing GANs in marketing, offering fresh insights in this research topic. © 2024 Mousumi Bose, Lilly Ye and Yiming Zhuang. All rights reserved."
